THANGAVELAN SUBA, Dravida Munnetra Kazhagam, 64165
MUJUPUR RAHMAN S, Desiya Murpokku Dravida Kazhagam, 63238
PANDIVELU U, Independent, 6667
PAULIN THARSIS, Indian Democratic Party, 3919
KARUPPAIAH U, Jharkhand Mukti Morcha, 3871
MAHALINGAM SIVA, Bharatiya Janata Party, 3632
SELVAM R, Independent, 2201
BALAKRISHNAN S S, Independent, 1448
KASBAR V, Independent, 1390
SHAHUL HAMEED V, Independent, 1252
SENTHIL RAMU M, Bahujan Samaj Party, 986
RAJENDRAN S, Independent, 960
MUJUPUR RAHMAN A, Independent, 751
MURUGESAN A M, Independent, 700
MUTHU RAMALINGAM G, Independent, 449
CHELLA DURAI K, Independent, 443
