VELU E.V, Dravida Munnetra Kazhagam, 84802
RAMACHANDRAN.S, All India Anna Dravida Munnetra Kazhagam, 79676
ARJUNAN.A, Bharatiya Janata Party, 1519
SATHASIVARAJA.S, Independent, 1186
RAJI.S, Bahujan Samaj Party, 955
DEIVEEGAN.K.I., Indiya Jananayaka Katchi, 810
NARAYANAN.A, Independent, 691
VELU.A, Independent, 518
VELU @ SHANMUGAVELU.M, Independent, 514
PALANIVEL.K, Independent, 250
SELVAM.G, Independent, 250
SENTHIL.J, Independent, 130
YESUDURAI.S, Independent, 112
SURESH.K, Independent, 103
GANESH.E, Independent, 85
KOTHANDAPANI.B, Independent, 78
