P. GANESAN, All India Anna Dravida Munnetra Kazhagam, 86912
PONKUMAR, Dravida Munnetra Kazhagam, 73146
M. MOHANAVELU, Independent, 1917
K. GURUMURTHY, Bharatiya Janata Party, 1407
M. J. AROKIASAMY, Independent, 1133
V. DEIVASIGAMANI, Independent, 1063
V. D. RAJAN, Bahujan Samaj Party, 803
R. MUTHUKUMAR, Independent, 352
K. SARAVANAN, Independent, 346
K. ETTIYAPPAN, Puratchi Bharatham, 260
G. MOHANASUNDARAM, Indiya Jananayaka Katchi, 214
A. KALINGAM, Independent, 121
E. DHANAM, Akhila India Jananayaka Makkal Katchi (Dr. Issac), 106
L. KARUNAGARAN, Independent, 92
S. ELANGOVAN, Independent, 74
