PALANICHAMY. S., All India Anna Dravida Munnetra Kazhagam, 104511
DHANDAPANI. M., Indian National Congress, 53799
VARATHARAJ. P, Independent, 2018
RAJAN.N , Independent, 1643
PALANICHAMY. M., Bahujan Samaj Party, 1640
RAMAN.M , Bharatiya Janata Party, 1635
LAKSHMI.R, Independent, 1259
BALASUBRAMANI.P, Independent, 668
GOVINDARAJ. T.V , Independent, 338
KALAICHELVAN.V, Puratchi Bharatham, 300
PERIYASAMY. J.P., Independent, 277
SIVARAJ.R., Independent, 267
DHAYALAN.D., Lok Jan Shakti Party, 209
SELVARAJ.V, Independent, 208
