PANDIARAJAN.K, Desiya Murpokku Dravida Kazhagam, 70104
ARMSTRONGNAVEEN.T., Indian National Congress, 48818
KARKUVELMARISELVAM.S, Independent, 5620
KAMATCHI.S, Bharatiya Janata Party, 3122
MURUGESAN.K.V., Independent, 1563
VEERAPERUMAL.S., Independent, 1089
PERUMALSAMY.M, Bahujan Samaj Party, 714
PANDIAN.M., Independent, 649
ASHOKKUMAR.J, Independent, 541
SENTHAMARAIPANDIAN.S, Independent, 491
ANANTHAMURUGAN.M, Independent, 331
RAJENDRAN.P., Independent, 321
NAGAMURUGARAJAN.M., Independent, 320
SHANTHI.K, Independent, 247
