KARUPPIAH .PALA, All India Anna Dravida Munnetra Kazhagam, 53920
ALTAF HUSSAIN, Dravida Munnetra Kazhagam, 33603
JAISANKAR M, Bharatiya Janata Party, 4663
MOHAMED HUSSAIN P, SOCIAL DEMOCRATIC PARTY OF INDIA, 2237
PRAVEEN MAHESHWARI, Independent, 761
PUSHPARANI G, Indiya Jananayaka Katchi, 291
CHANDRA KUMAR D, Independent, 211
AMEER JOHN K, Independent, 210
BABU M D, Independent, 206
HANUMANTHARAO G, Independent, 98
SYED IBRAHIM A, Independent, 88
SAKTHIVEL D, Independent, 88
CHAN BASHA, Independent, 53
SATHYANARAYANAN  D @ MERCURY SATHYA, Independent, 46
